gene,pathway,log2_fold_change,adjusted_p,status,minus_log10_p
GENE162,Metabolism,0.03,0.2620389528514096,Not significant,0.5816341447452238
GENE163,Immune,0.42,0.03360290572329525,Not significant,1.4736231665080717
GENE164,Cell cycle,0.883,0.002146986889331071,Not significant,2.6681706075938187
GENE165,Metabolism,0.256,0.09733333537756475,Not significant,1.0117383941500275
GENE166,Immune,-1.024,0.002031982059506703,Down,2.692080130783609
GENE167,Cell cycle,-0.684,0.006805077118095481,Not significant,2.167166948818685
GENE168,Metabolism,1.015,0.00012457345313727168,Up,3.904574496877099
GENE169,Immune,0.59,0.03549118691950372,Not significant,1.4498794764492107
GENE170,Cell cycle,-1.453,0.001453829776666043,Down,2.83748644036995
GENE171,Metabolism,0.118,0.2775695426210105,Not significant,0.5566281902248169
GENE172,Immune,0.148,0.05245568360398255,Not significant,1.2802074488599733
GENE173,Cell cycle,2.402,3.906752664664505e-05,Up,4.4081840829578525
GENE174,Metabolism,1.08,0.002113823161813955,Up,2.674931347710125
GENE175,Immune,-0.77,0.020850698130685824,Not significant,1.68087939924041
GENE176,Cell cycle,0.319,0.18868192417105437,Not significant,0.7242697034852178
GENE177,Metabolism,-2.339,2.0802710330055174e-05,Down,4.681880078272606
GENE178,Immune,-1.665,0.0001395582770726279,Down,3.855244400806538
GENE179,Cell cycle,0.089,0.181754151645636,Not significant,0.7405156601597207
GENE180,Metabolism,0.065,0.03341170563154289,Not significant,1.4761013535309868
GENE181,Immune,2.559,7.2477648516063426e-06,Up,5.139795905467341
GENE182,Cell cycle,2.472,1.3463828599217656e-05,Up,4.870831425767213
GENE183,Metabolism,-1.04,0.002537242736200997,Down,2.595637982147678
GENE184,Immune,0.677,0.0006465554965463408,Not significant,3.18939419188269
GENE185,Cell cycle,1.29,0.0007039752279302193,Up,3.152442622906888
GENE186,Metabolism,0.286,0.03231724217847944,Not significant,1.490565707234416
GENE187,Immune,0.481,1.2274904927606181e-05,Not significant,4.910981862917899
GENE188,Cell cycle,1.261,0.004959581783266788,Up,2.304554943847948
GENE189,Metabolism,0.436,0.03423813239155401,Not significant,1.4654899330767657
GENE190,Immune,0.673,0.0012263243989362634,Not significant,2.9113946309332333
GENE191,Cell cycle,-1.97,3.689070000691768e-05,Down,4.433083103887935
GENE192,Metabolism,0.135,0.4912679376781164,Not significant,0.30868157892206427
GENE193,Immune,-0.916,0.013298127984016512,Not significant,1.8762094916219065
GENE194,Cell cycle,0.571,0.003156421060447224,Not significant,2.500805067556607
GENE195,Metabolism,0.78,0.011416332994460512,Not significant,1.9424733720984233
GENE196,Immune,-1.203,6.902005921010821e-05,Down,4.161024672476983
GENE197,Cell cycle,-2.739,2.007594786237101e-06,Down,5.697323940859774
GENE198,Metabolism,-0.837,7.112237074097453e-07,Not significant,6.147993775342636
GENE199,Immune,1.546,0.00014872512288692568,Up,3.827615663558878
GENE200,Cell cycle,1.642,8.000692210012742e-05,Up,4.096872436760092
GENE201,Metabolism,2.838,3.397122706244233e-06,Up,5.468888765852284
GENE202,Immune,-1.285,0.0014431504669685739,Down,2.8406883857690066
GENE203,Cell cycle,1.548,3.920543584057668e-06,Up,5.406653713798425
GENE204,Metabolism,-2.464,1.3775852187819565e-05,Down,4.860881525759665
GENE205,Immune,-1.006,0.004085525724886041,Down,2.3887520505816706
GENE206,Cell cycle,-2.091,4.259448326523052e-05,Down,4.370646646029126
GENE207,Metabolism,-0.09,0.005742051983255617,Not significant,2.240932880119054
GENE208,Immune,-2.094,5.7244416409910726e-05,Down,4.242266867776266
GENE209,Cell cycle,2.056,4.8917817413709724e-05,Up,4.31053292829822
GENE210,Metabolism,-0.533,0.001132849094762079,Not significant,2.9458279380421564
GENE211,Immune,-0.335,0.1744970721207212,Not significant,0.758211855653123
GENE212,Cell cycle,0.061,0.07667142751243934,Not significant,1.1153664507257164
GENE213,Metabolism,0.258,0.058925300262802516,Not significant,1.2296981957846143
GENE214,Immune,-1.583,0.00022932979454922924,Down,3.639539518023105
GENE215,Cell cycle,-0.804,0.0007826742129669476,Not significant,3.106418974792163
GENE216,Metabolism,-1.919,3.20109929447186e-06,Down,5.494700854324349
GENE217,Immune,0.982,0.004793247748341915,Not significant,2.319370123072243
GENE218,Cell cycle,2.608,2.445083107657144e-06,Up,5.61170637474752
GENE219,Metabolism,-0.353,0.04543519106960797,Not significant,1.3426076412594894
GENE220,Immune,1.636,0.00028384984871257957,Up,3.5469113329105055
GENE221,Cell cycle,-0.899,0.00838039864361353,Not significant,2.0767353221091276
GENE222,Metabolism,0.528,0.006504528291744118,Not significant,2.186784192987199
GENE223,Immune,-0.611,0.008373354436368202,Not significant,2.0771005251178742
GENE224,Cell cycle,-1.003,0.00594340046866407,Down,2.225965005822658
GENE225,Metabolism,1.582,7.484164654407053e-05,Up,4.125856666426732
GENE226,Immune,-3.097,1.7114716307128304e-07,Down,6.766630295314878
GENE227,Cell cycle,-0.101,0.05879274624365625,Not significant,1.2306762531871713
GENE228,Metabolism,0.824,0.006396078372203595,Not significant,2.1940862234112584
GENE229,Immune,-0.761,0.007073309839091845,Not significant,2.1503773176759777
GENE230,Cell cycle,-0.745,0.013964001036310377,Not significant,1.8549901276275622
GENE231,Metabolism,-0.779,0.02593644089321015,Not significant,1.5860896198667507
GENE232,Immune,-0.777,1.8510336746638107e-06,Not significant,5.732585680335349
GENE233,Cell cycle,1.007,0.0014473904951802625,Up,2.83941428365436
GENE234,Metabolism,3.314,1.1199943910345729e-07,Up,6.950784152284134
GENE235,Immune,-0.216,0.17683984157348276,Not significant,0.7524198828398633
GENE236,Cell cycle,-0.423,0.13989300867171175,Not significant,0.8542039893764127
GENE237,Metabolism,-0.688,0.007405431495595526,Not significant,2.1304496311743124
GENE238,Immune,0.494,0.02730756427586304,Not significant,1.563717035441644
GENE239,Cell cycle,1.157,0.0001553511439019311,Up,3.808685544543107
GENE240,Metabolism,-0.773,0.00018894946605584086,Not significant,3.7236543309993064
