ticket_id,period,region,priority,channel,topic,status,response_hours,comment
T0022,Recent,East,Critical,Chat,Technical,Resolved,6.97,Please help with update device quick helpful.
T0023,Earlier,East,High,Email,Technical,Resolved,7.25,Please help with device error fixed thanks.
T0024,Recent,West,Low,Web,Delivery,Resolved,9.16,Please help with tracking late quick helpful.
T0025,Recent,East,Low,Web,Returns,Resolved,8.99,Please help with label refund thanks quick.
T0026,Recent,West,High,Chat,Billing,Resolved,8.52,Please help with refund charge quick thanks.
T0027,Earlier,Central,Medium,Web,Returns,Resolved,5.52,Please help with refund replacement helpful thanks.
T0028,Recent,North,Critical,Chat,Account,Resolved,2.75,Please help with login account fixed thanks.
T0029,Recent,East,High,Social,Product,Resolved,6.87,Please help with feature product fixed helpful.
T0030,Recent,East,Critical,Phone,Billing,Resolved,4.51,Please help with payment charge quick thanks.
T0031,Recent,East,Low,Email,Delivery,Pending,10.11,Please help with delivery tracking still update.
T0032,Recent,East,Low,Phone,Technical,Resolved,10.32,Please help with update error quick thanks.
T0033,Recent,West,High,Email,Product,Resolved,3.1,Please help with feature quality helpful thanks.
T0034,Recent,West,Critical,Phone,Account,Resolved,3.81,Please help with login access quick helpful.
T0035,Earlier,North,High,Web,Delivery,Resolved,5.63,Please help with tracking delivery fixed helpful.
T0036,Earlier,West,High,Social,Technical,Resolved,8.37,Please help with device error helpful fixed.
T0037,Earlier,North,Low,Email,Product,Resolved,7.39,Please help with feature product helpful thanks.
T0038,Earlier,Central,Critical,Chat,Technical,Pending,9.18,Please help with error device response update.
T0039,Earlier,North,Critical,Chat,Product,Resolved,6.47,Please help with product replacement helpful fixed.
T0040,Recent,Central,Medium,Chat,Billing,Resolved,8.34,Please help with invoice refund fixed quick.
T0041,Recent,West,Medium,Phone,Delivery,Resolved,9.1,Please help with delivery late quick fixed.
T0042,Earlier,West,Low,Social,Billing,Pending,8.53,Please help with refund invoice waiting response.
T0043,Earlier,East,Medium,Chat,Technical,Resolved,11.68,Please help with error device thanks fixed.
T0044,Recent,North,Low,Email,Delivery,Resolved,7.78,Please help with tracking delivery fixed helpful.
T0045,Recent,Central,High,Email,Returns,Pending,9.4,Please help with replacement return update response.
T0046,Earlier,Central,High,Chat,Billing,Resolved,5.9,Please help with charge invoice helpful thanks.
T0047,Recent,East,Low,Web,Technical,Resolved,11.32,Please help with device connection thanks fixed.
T0048,Recent,Central,Medium,Email,Billing,Resolved,6.68,Please help with invoice refund quick helpful.
T0049,Recent,North,Critical,Email,Delivery,Resolved,6.08,Please help with tracking delivery quick fixed.
T0050,Earlier,Central,Medium,Email,Delivery,Resolved,7.05,Please help with late delivery quick helpful.
T0051,Recent,North,Medium,Phone,Billing,Pending,6.89,Please help with invoice refund waiting still.
T0052,Earlier,East,Medium,Phone,Delivery,Resolved,8.3,Please help with delivery tracking helpful quick.
T0053,Recent,East,High,Email,Account,Resolved,3.89,Please help with account access quick thanks.
T0054,Recent,North,Critical,Email,Delivery,Resolved,4.27,Please help with tracking late helpful quick.
T0055,Recent,North,Critical,Chat,Technical,Resolved,6.22,Please help with error device thanks fixed.
T0056,Earlier,North,Critical,Email,Billing,Pending,5.35,Please help with payment charge waiting response.
T0057,Recent,West,Medium,Social,Returns,Resolved,6.06,Please help with return replacement thanks fixed.
T0058,Recent,North,Low,Email,Returns,Resolved,8.14,Please help with refund replacement thanks fixed.
T0059,Recent,East,Medium,Email,Product,Resolved,5.41,Please help with feature replacement helpful thanks.
T0060,Earlier,Central,Medium,Email,Billing,Resolved,7.59,Please help with payment charge fixed helpful.
T0061,Recent,North,High,Chat,Returns,Resolved,5.3,Please help with label refund thanks fixed.
T0062,Earlier,North,Low,Social,Account,Resolved,10.43,Please help with access account fixed thanks.
T0063,Recent,East,Medium,Email,Technical,Pending,12.53,Please help with error connection waiting update.
T0064,Recent,West,Medium,Phone,Technical,Pending,8.25,Please help with update connection response still.
T0065,Earlier,East,Medium,Social,Technical,Resolved,11.77,Please help with device error helpful fixed.
T0066,Recent,West,Low,Chat,Delivery,Resolved,6.77,Please help with tracking delivery helpful thanks.
T0067,Earlier,West,Low,Email,Product,Resolved,7.43,Please help with feature replacement fixed helpful.
T0068,Earlier,West,Low,Phone,Product,Pending,6.87,Please help with feature quality response update.
T0069,Earlier,East,Critical,Web,Billing,Escalated,5.77,Please help with invoice payment urgent unresolved.
T0070,Earlier,North,Low,Web,Billing,Resolved,8.08,Please help with invoice payment quick helpful.
T0071,Recent,Central,Medium,Email,Returns,Resolved,7.42,Please help with replacement label thanks fixed.
T0072,Recent,East,Medium,Phone,Technical,Resolved,10.33,Please help with error update helpful quick.
T0073,Recent,East,Critical,Web,Technical,Pending,9.97,Please help with device update response waiting.
T0074,Recent,East,Low,Chat,Delivery,Resolved,7.45,Please help with late address helpful fixed.
T0075,Recent,East,Medium,Social,Account,Pending,4.34,Please help with access login response waiting.
T0076,Recent,Central,Critical,Web,Delivery,Resolved,3.32,Please help with delivery tracking thanks quick.
T0077,Earlier,Central,Low,Chat,Billing,Resolved,9.02,Please help with refund payment helpful thanks.
T0078,Earlier,East,Medium,Chat,Billing,Resolved,7.11,Please help with invoice payment quick fixed.
T0079,Earlier,West,Low,Chat,Product,Resolved,6.54,Please help with replacement product quick fixed.
T0080,Recent,East,Medium,Email,Returns,Resolved,7.5,Please help with label replacement fixed helpful.
T0081,Earlier,East,High,Chat,Returns,Resolved,7.45,Please help with replacement label helpful fixed.
T0082,Earlier,West,Low,Phone,Account,Escalated,5.54,Please help with password login repeated unresolved.
T0083,Recent,West,Medium,Chat,Delivery,Resolved,12.13,Please help with tracking delivery quick fixed.
T0084,Recent,East,Medium,Social,Delivery,Escalated,8.53,Please help with late address repeated urgent.
T0085,Earlier,East,High,Web,Delivery,Resolved,7.43,Please help with delivery late fixed thanks.
T0086,Earlier,North,High,Phone,Returns,Resolved,7.13,Please help with label return fixed helpful.
T0087,Recent,North,High,Email,Returns,Resolved,7.2,Please help with return refund quick thanks.
T0088,Recent,Central,Critical,Phone,Billing,Resolved,4.61,Please help with charge payment quick fixed.
T0089,Earlier,East,Medium,Email,Product,Resolved,6.14,Please help with feature product helpful thanks.
T0090,Recent,West,Medium,Phone,Delivery,Resolved,5.67,Please help with delivery address helpful thanks.
T0091,Earlier,Central,Low,Phone,Delivery,Resolved,9.34,Please help with tracking late thanks helpful.
T0092,Recent,Central,Low,Email,Delivery,Pending,9.63,Please help with tracking late waiting update.
T0093,Earlier,Central,Medium,Web,Billing,Pending,9.94,Please help with charge payment still response.
T0094,Earlier,Central,Critical,Email,Product,Resolved,4.39,Please help with replacement feature quick thanks.
T0095,Earlier,East,Medium,Social,Delivery,Resolved,6.52,Please help with delivery late thanks quick.
T0096,Recent,East,Medium,Email,Returns,Resolved,5.8,Please help with replacement return thanks fixed.
T0097,Earlier,East,Medium,Email,Billing,Pending,8.26,Please help with payment charge waiting response.
T0098,Recent,West,Low,Email,Technical,Resolved,11.86,Please help with update connection quick fixed.
T0099,Earlier,West,Low,Social,Billing,Resolved,9.3,Please help with refund invoice quick thanks.
T0100,Earlier,Central,Medium,Social,Technical,Pending,10.32,Please help with device connection waiting update.
T0101,Recent,East,High,Email,Technical,Resolved,7.75,Please help with connection error quick fixed.
T0102,Earlier,Central,High,Social,Account,Pending,5.49,Please help with password account response update.
T0103,Earlier,Central,Medium,Web,Product,Resolved,6.34,Please help with quality feature quick fixed.
T0104,Earlier,West,Medium,Web,Billing,Resolved,8.58,Please help with refund invoice quick helpful.
T0105,Earlier,East,Low,Chat,Product,Resolved,6.82,Please help with quality feature helpful quick.
T0106,Recent,East,Medium,Email,Technical,Resolved,8.07,Please help with connection update quick fixed.
T0107,Earlier,East,Medium,Chat,Account,Resolved,7.41,Please help with password access fixed helpful.
T0108,Earlier,East,Medium,Web,Billing,Resolved,7.69,Please help with invoice charge helpful fixed.
T0109,Earlier,East,High,Chat,Product,Resolved,4.73,Please help with feature product quick fixed.
T0110,Earlier,East,Medium,Chat,Account,Resolved,4.07,Please help with access password fixed thanks.
T0111,Recent,West,Critical,Web,Returns,Resolved,5.68,Please help with replacement refund thanks fixed.
T0112,Earlier,North,Medium,Phone,Technical,Resolved,9.44,Please help with device update helpful quick.
T0113,Recent,Central,Critical,Chat,Billing,Resolved,13.43,Please help with refund invoice thanks fixed.
T0114,Recent,Central,High,Chat,Billing,Resolved,5.51,Please help with charge payment fixed thanks.
T0115,Earlier,West,High,Email,Delivery,Resolved,4.6,Please help with address delivery quick fixed.
T0116,Recent,North,Low,Social,Technical,Resolved,11.45,Please help with update device helpful quick.
T0117,Recent,North,Medium,Email,Billing,Resolved,7.08,Please help with invoice payment helpful fixed.
T0118,Recent,Central,Low,Email,Billing,Resolved,7.83,Please help with charge invoice quick fixed.
T0119,Earlier,North,Low,Email,Delivery,Pending,10.94,Please help with address tracking response still.
T0120,Earlier,West,Medium,Phone,Technical,Resolved,10.32,Please help with update connection fixed helpful.
T0121,Recent,West,Medium,Web,Returns,Resolved,5.58,Please help with return label helpful fixed.
T0122,Earlier,West,Medium,Phone,Returns,Resolved,7.04,Please help with replacement label quick thanks.
T0123,Recent,Central,Critical,Social,Billing,Pending,4.76,Please help with invoice payment update waiting.
T0124,Earlier,West,High,Email,Product,Pending,6.16,Please help with feature quality waiting update.
T0125,Earlier,East,High,Chat,Technical,Resolved,7.34,Please help with device connection quick helpful.
T0126,Recent,West,Low,Email,Technical,Escalated,9.48,Please help with error device frustrated repeated.
T0127,Earlier,Central,High,Phone,Billing,Resolved,6.37,Please help with payment invoice quick thanks.
T0128,Earlier,West,High,Email,Billing,Resolved,6.58,Please help with refund charge thanks helpful.
T0129,Recent,North,Low,Chat,Billing,Resolved,8.24,Please help with invoice payment quick fixed.
T0130,Recent,North,Medium,Web,Technical,Resolved,8.7,Please help with error device thanks helpful.
T0131,Earlier,North,High,Web,Account,Resolved,2.61,Please help with password login quick thanks.
T0132,Earlier,Central,Critical,Web,Technical,Pending,6.75,Please help with update error waiting response.
T0133,Recent,West,Medium,Phone,Billing,Resolved,7.6,Please help with charge refund helpful thanks.
T0134,Earlier,East,Critical,Phone,Product,Pending,2.77,Please help with replacement product response update.
T0135,Earlier,North,Medium,Phone,Technical,Pending,15.92,Please help with connection error still waiting.
T0136,Earlier,North,Medium,Chat,Technical,Resolved,8.85,Please help with device update thanks helpful.
T0137,Recent,North,High,Phone,Account,Resolved,7.04,Please help with access account quick fixed.
T0138,Recent,East,High,Chat,Account,Resolved,3.19,Please help with account login fixed quick.
T0139,Recent,East,Medium,Chat,Billing,Resolved,12.43,Please help with refund charge thanks quick.
T0140,Recent,Central,High,Email,Delivery,Resolved,9.67,Please help with address late quick thanks.
T0141,Earlier,West,Low,Email,Delivery,Escalated,7.71,Please help with address tracking repeated frustrated.
T0142,Earlier,Central,Critical,Email,Technical,Escalated,6.94,Please help with device error urgent unresolved.
T0143,Earlier,North,Medium,Email,Account,Escalated,5.44,Please help with password account unresolved frustrated.
T0144,Recent,West,High,Web,Technical,Resolved,8.7,Please help with update device quick thanks.
T0145,Recent,Central,Low,Email,Billing,Resolved,10.52,Please help with charge refund helpful thanks.
T0146,Recent,East,High,Chat,Returns,Resolved,8.12,Please help with replacement return thanks helpful.
T0147,Earlier,North,High,Chat,Product,Resolved,6.81,Please help with quality product helpful quick.
T0148,Recent,Central,High,Social,Product,Resolved,3.22,Please help with replacement feature quick thanks.
T0149,Recent,West,Medium,Phone,Account,Resolved,4.45,Please help with password account thanks helpful.
T0150,Recent,West,Medium,Phone,Billing,Resolved,8.59,Please help with payment charge thanks fixed.
T0151,Recent,East,Medium,Social,Technical,Resolved,7.86,Please help with device connection fixed helpful.
T0152,Recent,North,High,Chat,Product,Resolved,4.74,Please help with quality feature fixed quick.
T0153,Earlier,East,Critical,Chat,Billing,Escalated,6.21,Please help with charge refund urgent unresolved.
T0154,Recent,Central,Low,Email,Delivery,Resolved,7.75,Please help with tracking delivery thanks helpful.
T0155,Recent,North,Low,Social,Delivery,Resolved,9.94,Please help with delivery address fixed quick.
T0156,Earlier,East,Medium,Web,Technical,Resolved,11.31,Please help with update device helpful quick.
T0157,Earlier,Central,Medium,Email,Account,Resolved,3.91,Please help with account login helpful quick.
T0158,Recent,North,High,Email,Billing,Resolved,6.81,Please help with charge invoice fixed quick.
T0159,Earlier,East,Low,Email,Delivery,Resolved,10.1,Please help with address tracking fixed thanks.
T0160,Earlier,East,Low,Social,Delivery,Pending,6.51,Please help with delivery address still response.
T0161,Recent,East,Low,Chat,Account,Resolved,6.21,Please help with access password fixed helpful.
T0162,Recent,East,Medium,Chat,Billing,Resolved,7.88,Please help with payment invoice thanks fixed.
T0163,Earlier,East,Medium,Email,Billing,Escalated,7.8,Please help with payment invoice urgent unresolved.
T0164,Recent,East,Medium,Chat,Returns,Resolved,5.94,Please help with return replacement quick thanks.
T0165,Recent,West,High,Phone,Billing,Resolved,6.14,Please help with refund charge quick fixed.
T0166,Recent,East,Low,Email,Billing,Resolved,9.08,Please help with refund payment fixed thanks.
T0167,Recent,East,Medium,Web,Billing,Resolved,8.94,Please help with refund payment thanks quick.
T0168,Earlier,East,Medium,Chat,Product,Pending,5.05,Please help with quality replacement update still.
T0169,Earlier,North,Low,Email,Billing,Resolved,7.91,Please help with payment refund helpful fixed.
T0170,Earlier,Central,High,Web,Returns,Resolved,4.92,Please help with label replacement helpful thanks.
T0171,Earlier,Central,Medium,Email,Billing,Escalated,8.02,Please help with payment charge urgent unresolved.
T0172,Earlier,East,Medium,Phone,Delivery,Pending,5.78,Please help with delivery tracking still waiting.
T0173,Earlier,East,Medium,Web,Technical,Pending,9.26,Please help with error update still response.
T0174,Earlier,West,Medium,Social,Product,Escalated,4.73,Please help with quality product repeated frustrated.
T0175,Recent,North,High,Web,Product,Resolved,4.21,Please help with product replacement fixed helpful.
T0176,Recent,North,Low,Chat,Account,Resolved,6.87,Please help with login access fixed helpful.
T0177,Earlier,North,Medium,Social,Product,Resolved,4.56,Please help with product replacement thanks fixed.
T0178,Earlier,West,Medium,Phone,Product,Pending,6.9,Please help with quality product waiting still.
T0179,Recent,North,Low,Email,Technical,Resolved,8.91,Please help with device error thanks fixed.
T0180,Recent,East,Low,Email,Billing,Resolved,8.32,Please help with invoice refund helpful quick.
T0181,Earlier,East,Medium,Phone,Product,Resolved,5.58,Please help with product feature helpful quick.
T0182,Earlier,Central,Medium,Web,Account,Resolved,8.21,Please help with access login helpful quick.
T0183,Recent,West,High,Social,Billing,Resolved,9.72,Please help with charge invoice quick helpful.
T0184,Recent,West,Critical,Email,Product,Resolved,3.94,Please help with replacement feature helpful thanks.
T0185,Recent,North,Medium,Chat,Technical,Resolved,9.66,Please help with device error helpful fixed.
T0186,Recent,East,Medium,Chat,Account,Resolved,5.33,Please help with access login fixed helpful.
T0187,Earlier,North,High,Email,Technical,Resolved,10.04,Please help with update device helpful fixed.
T0188,Earlier,Central,Medium,Email,Delivery,Resolved,7.24,Please help with address late quick fixed.
T0189,Recent,East,Low,Phone,Product,Resolved,7.26,Please help with replacement feature fixed thanks.
T0190,Recent,Central,Medium,Phone,Billing,Resolved,11.27,Please help with charge refund quick helpful.
T0191,Recent,West,High,Chat,Product,Resolved,4.77,Please help with quality product thanks quick.
T0192,Earlier,Central,Low,Email,Billing,Resolved,7.69,Please help with charge payment quick helpful.
T0193,Earlier,West,High,Chat,Delivery,Resolved,4.2,Please help with late tracking thanks fixed.
T0194,Recent,North,Medium,Email,Billing,Resolved,7.08,Please help with invoice refund fixed helpful.
T0195,Recent,West,High,Email,Product,Resolved,7.12,Please help with quality product quick fixed.
T0196,Recent,West,Medium,Phone,Returns,Resolved,6.36,Please help with replacement label quick fixed.
T0197,Recent,Central,Critical,Chat,Technical,Resolved,6.21,Please help with connection error quick helpful.
T0198,Earlier,North,High,Chat,Billing,Resolved,5.52,Please help with payment invoice fixed quick.
T0199,Earlier,East,Low,Phone,Product,Resolved,7.7,Please help with product quality helpful fixed.
T0200,Recent,Central,Critical,Chat,Technical,Resolved,6.28,Please help with connection error helpful fixed.
T0201,Earlier,Central,High,Web,Technical,Pending,7.45,Please help with device update still waiting.
T0202,Recent,East,Low,Email,Account,Pending,7.98,Please help with password login response update.
T0203,Earlier,West,Medium,Email,Billing,Escalated,6.65,Please help with invoice refund repeated unresolved.
T0204,Recent,West,Medium,Chat,Billing,Resolved,7.83,Please help with charge invoice thanks fixed.
T0205,Recent,North,High,Chat,Billing,Resolved,7.18,Please help with payment charge fixed quick.
T0206,Recent,East,Low,Email,Technical,Resolved,10.84,Please help with connection device fixed quick.
T0207,Recent,West,Medium,Social,Technical,Resolved,8.21,Please help with update connection quick thanks.
T0208,Earlier,North,Low,Phone,Product,Resolved,10.01,Please help with quality product helpful quick.
T0209,Recent,East,Low,Web,Returns,Resolved,8.4,Please help with replacement refund thanks fixed.
T0210,Recent,North,High,Email,Technical,Resolved,7.34,Please help with device connection fixed thanks.
T0211,Earlier,East,Low,Email,Billing,Resolved,10.25,Please help with invoice refund quick thanks.
T0212,Earlier,East,Medium,Social,Product,Resolved,5.15,Please help with replacement quality helpful thanks.
T0213,Earlier,West,Medium,Phone,Billing,Resolved,8.55,Please help with invoice refund helpful thanks.
T0214,Earlier,West,Medium,Web,Product,Resolved,5.15,Please help with feature product thanks quick.
T0215,Recent,East,High,Phone,Product,Resolved,5.05,Please help with quality replacement thanks helpful.
T0216,Recent,Central,Low,Chat,Technical,Pending,12.75,Please help with device update waiting still.
T0217,Earlier,West,Medium,Chat,Delivery,Resolved,5.34,Please help with late address quick helpful.
T0218,Recent,North,Medium,Email,Account,Resolved,4.83,Please help with login password fixed quick.
T0219,Earlier,East,High,Chat,Delivery,Resolved,4.36,Please help with late tracking quick thanks.
T0220,Earlier,West,High,Email,Billing,Resolved,5.02,Please help with charge invoice thanks helpful.
T0221,Earlier,East,High,Social,Billing,Resolved,6.27,Please help with charge refund quick fixed.
T0222,Recent,Central,High,Email,Delivery,Pending,6.91,Please help with delivery late waiting response.
T0223,Earlier,North,Low,Web,Product,Resolved,9.25,Please help with product quality thanks fixed.
T0224,Earlier,East,High,Email,Returns,Resolved,7.43,Please help with replacement refund fixed quick.
T0225,Recent,East,High,Email,Account,Resolved,3.48,Please help with account password helpful thanks.
T0226,Recent,West,Low,Chat,Product,Resolved,5.81,Please help with feature quality fixed thanks.
T0227,Earlier,West,Low,Phone,Account,Resolved,6.35,Please help with password login helpful thanks.
T0228,Recent,North,High,Web,Technical,Resolved,8.62,Please help with update connection fixed thanks.
T0229,Recent,East,Low,Chat,Billing,Resolved,7.98,Please help with payment charge quick thanks.
T0230,Earlier,East,Medium,Web,Product,Resolved,4.69,Please help with feature product fixed helpful.
T0231,Recent,West,Medium,Phone,Technical,Resolved,7.93,Please help with connection error fixed quick.
T0232,Recent,East,Medium,Chat,Returns,Resolved,6.47,Please help with label return thanks quick.
T0233,Earlier,East,Medium,Email,Delivery,Escalated,6.09,Please help with tracking address unresolved frustrated.
T0234,Earlier,East,Critical,Chat,Billing,Resolved,5.36,Please help with payment charge fixed quick.
T0235,Recent,North,Medium,Web,Technical,Resolved,8.1,Please help with device update fixed quick.
T0236,Recent,North,Low,Chat,Product,Resolved,6.34,Please help with quality feature thanks quick.
T0237,Earlier,East,High,Phone,Billing,Resolved,8.03,Please help with invoice charge quick helpful.
T0238,Recent,North,Low,Web,Billing,Resolved,8.52,Please help with refund payment fixed thanks.
T0239,Recent,East,Low,Web,Delivery,Resolved,8.67,Please help with delivery late quick fixed.
T0240,Earlier,West,High,Chat,Product,Escalated,3.28,Please help with product quality urgent repeated.
T0241,Recent,East,Medium,Email,Returns,Resolved,6.44,Please help with return refund quick helpful.
T0242,Earlier,North,Low,Chat,Technical,Resolved,9.56,Please help with update error thanks quick.
T0243,Recent,West,Low,Email,Product,Resolved,8.91,Please help with replacement quality quick helpful.
T0244,Recent,West,Medium,Phone,Delivery,Pending,8.01,Please help with address tracking response update.
T0245,Recent,East,Medium,Web,Billing,Resolved,6.4,Please help with refund payment helpful thanks.
T0246,Earlier,East,Low,Phone,Account,Resolved,6.87,Please help with login password thanks fixed.
T0247,Earlier,Central,Medium,Email,Delivery,Resolved,8.22,Please help with address late quick helpful.
T0248,Recent,Central,High,Web,Account,Resolved,5.77,Please help with login account fixed helpful.
T0249,Recent,Central,Medium,Chat,Product,Resolved,5.48,Please help with feature product fixed quick.
T0250,Recent,East,Medium,Chat,Returns,Resolved,10.95,Please help with replacement return helpful fixed.
T0251,Recent,West,Medium,Chat,Billing,Resolved,8.38,Please help with payment invoice quick thanks.
T0252,Recent,West,High,Email,Billing,Resolved,6.77,Please help with charge payment fixed thanks.
T0253,Earlier,Central,Low,Email,Delivery,Resolved,7.32,Please help with address tracking helpful fixed.
T0254,Earlier,West,High,Chat,Account,Resolved,3.28,Please help with access login quick thanks.
T0255,Earlier,West,Low,Phone,Account,Pending,7.39,Please help with account access response still.
T0256,Recent,East,High,Email,Billing,Resolved,7.99,Please help with refund payment thanks quick.
T0257,Earlier,East,Low,Email,Technical,Resolved,11.05,Please help with update device fixed quick.
T0258,Earlier,East,Medium,Email,Delivery,Resolved,5.07,Please help with tracking delivery quick fixed.
T0259,Earlier,East,High,Email,Billing,Resolved,5.8,Please help with charge refund quick helpful.
T0260,Earlier,North,Critical,Email,Billing,Resolved,6.62,Please help with refund payment fixed quick.
T0261,Recent,North,Medium,Phone,Billing,Pending,6.93,Please help with payment charge waiting response.
T0262,Earlier,West,Critical,Chat,Billing,Resolved,4.49,Please help with invoice charge fixed helpful.
T0263,Earlier,East,Critical,Email,Delivery,Resolved,4.67,Please help with tracking address quick thanks.
T0264,Recent,West,Medium,Email,Delivery,Pending,9.44,Please help with delivery address response update.
T0265,Recent,East,Medium,Chat,Technical,Resolved,11.04,Please help with connection update helpful fixed.
T0266,Earlier,West,Low,Email,Delivery,Resolved,8.24,Please help with tracking late quick fixed.
T0267,Earlier,East,Medium,Email,Billing,Resolved,8.21,Please help with payment refund helpful thanks.
T0268,Recent,Central,Low,Chat,Product,Pending,6.1,Please help with quality product update response.
T0269,Earlier,North,Medium,Social,Billing,Resolved,7.68,Please help with charge invoice quick fixed.
T0270,Earlier,North,Low,Phone,Delivery,Resolved,7.7,Please help with address tracking helpful quick.
T0271,Recent,West,Low,Chat,Delivery,Resolved,7.63,Please help with late address helpful thanks.
T0272,Earlier,East,Low,Chat,Delivery,Pending,7.3,Please help with late tracking update waiting.
T0273,Earlier,North,Low,Email,Account,Resolved,5.84,Please help with password login helpful quick.
T0274,Earlier,East,Low,Email,Returns,Resolved,7.24,Please help with return refund thanks fixed.
T0275,Earlier,Central,Critical,Chat,Account,Escalated,4.49,Please help with account login repeated unresolved.
T0276,Recent,East,Low,Phone,Product,Resolved,6.67,Please help with feature replacement thanks fixed.
T0277,Recent,East,Medium,Social,Technical,Escalated,16.13,Please help with connection device repeated unresolved.
T0278,Recent,West,High,Chat,Billing,Resolved,5.41,Please help with refund payment helpful fixed.
T0279,Earlier,Central,Low,Email,Returns,Resolved,7.05,Please help with label refund fixed quick.
T0280,Recent,East,Medium,Web,Delivery,Pending,6.42,Please help with late delivery still update.
T0281,Earlier,West,High,Phone,Delivery,Pending,4.88,Please help with address late waiting response.
T0282,Earlier,North,Medium,Email,Product,Resolved,4.83,Please help with quality product fixed thanks.
T0283,Recent,North,High,Chat,Billing,Resolved,7.24,Please help with refund charge fixed quick.
T0284,Earlier,North,High,Phone,Account,Resolved,3.2,Please help with login password fixed helpful.
T0285,Earlier,Central,High,Chat,Billing,Resolved,8.46,Please help with payment charge quick thanks.
T0286,Recent,East,Medium,Email,Delivery,Resolved,5.9,Please help with address late helpful thanks.
T0287,Earlier,East,Low,Social,Technical,Resolved,11.29,Please help with update error thanks quick.
T0288,Recent,West,Medium,Email,Billing,Resolved,6.98,Please help with charge payment thanks fixed.
T0289,Earlier,Central,Low,Social,Technical,Resolved,9.05,Please help with device update helpful thanks.
T0290,Recent,East,Low,Phone,Technical,Resolved,9.72,Please help with error update thanks quick.
T0291,Earlier,East,High,Email,Product,Resolved,8.85,Please help with product replacement quick helpful.
T0292,Earlier,Central,High,Web,Technical,Resolved,8.63,Please help with device update quick helpful.
T0293,Earlier,East,High,Web,Returns,Resolved,5.79,Please help with replacement label fixed thanks.
T0294,Recent,Central,Critical,Chat,Billing,Resolved,11.23,Please help with refund charge fixed quick.
T0295,Recent,East,Medium,Phone,Account,Resolved,7.17,Please help with access login quick fixed.
T0296,Earlier,West,Medium,Chat,Product,Resolved,4.48,Please help with feature replacement fixed quick.
T0297,Recent,East,Low,Email,Product,Resolved,6.73,Please help with product quality thanks helpful.
T0298,Earlier,West,Medium,Chat,Delivery,Resolved,6.32,Please help with delivery address thanks fixed.
T0299,Recent,East,High,Chat,Billing,Resolved,5.67,Please help with refund invoice helpful quick.
T0300,Earlier,North,Critical,Email,Returns,Pending,4.65,Please help with refund label still update.
T0301,Recent,West,Low,Email,Account,Pending,6.73,Please help with account access update still.
T0302,Recent,West,Low,Chat,Technical,Resolved,11.46,Please help with device error helpful quick.
T0303,Earlier,Central,High,Chat,Technical,Resolved,6.92,Please help with connection update quick thanks.
T0304,Recent,North,Critical,Chat,Product,Escalated,3.0,Please help with product quality urgent frustrated.
T0305,Recent,Central,Medium,Phone,Account,Resolved,5.36,Please help with password login fixed helpful.
T0306,Earlier,North,Medium,Email,Product,Resolved,7.83,Please help with product replacement quick helpful.
T0307,Recent,Central,Low,Email,Delivery,Resolved,8.59,Please help with address late thanks helpful.
T0308,Recent,West,Critical,Phone,Returns,Resolved,4.72,Please help with return label fixed thanks.
T0309,Earlier,East,Low,Email,Technical,Escalated,10.31,Please help with connection error repeated urgent.
T0310,Recent,North,High,Phone,Product,Resolved,4.11,Please help with feature quality thanks fixed.
