site_id,region,habitat,elevation_m,rainfall_mm,temperature_c,species_richness,survey_effort_h
SITE-0061,South,Grassland,695.5,1190.2,25.8,31,4.3
SITE-0062,Central,Forest,842.6,1163.9,24.6,42,8.7
SITE-0063,North,Grassland,430.3,926.2,26.7,20,4.8
SITE-0064,Central,Forest,743.5,1232.8,25.4,40,2.0
SITE-0065,North,Forest,148.3,973.5,28.8,31,4.9
SITE-0066,North,Forest,403.9,787.6,27.4,38,8.6
SITE-0067,North,Grassland,143.4,875.2,26.6,25,8.2
SITE-0068,Central,Forest,744.5,1357.0,25.8,39,3.9
SITE-0069,Central,Grassland,677.1,1108.6,24.2,31,7.8
SITE-0070,Central,Grassland,998.2,934.0,24.2,24,6.7
SITE-0071,South,Forest,428.5,1608.0,28.1,45,1.2
SITE-0072,Central,Forest,770.4,1661.7,24.3,51,6.0
SITE-0073,Central,Grassland,754.0,756.9,21.9,25,7.1
SITE-0074,North,Grassland,333.0,878.1,26.0,24,3.9
SITE-0075,Central,Grassland,740.4,1092.1,26.3,26,10.2
SITE-0076,Central,Forest,870.8,1428.8,24.5,47,3.8
SITE-0077,North,Forest,192.4,1163.5,30.6,39,6.3
SITE-0078,North,Forest,243.2,923.1,28.8,42,2.6
SITE-0079,Central,Forest,1245.1,1107.3,22.0,39,2.4
SITE-0080,South,Forest,744.9,1658.8,26.2,50,2.7
SITE-0081,North,Grassland,616.3,1157.5,25.8,32,5.8
SITE-0082,North,Grassland,451.4,800.1,27.9,18,5.3
SITE-0083,South,Forest,253.4,1422.1,28.7,42,3.9
SITE-0084,South,Forest,465.8,1641.7,27.9,51,4.7
SITE-0085,North,Grassland,571.7,280.0,26.4,4,4.3
SITE-0086,Central,Forest,761.1,1928.9,23.8,48,5.9
SITE-0087,Central,Grassland,1105.7,1065.2,23.2,25,4.8
SITE-0088,Central,Grassland,670.5,816.9,24.9,23,6.4
SITE-0089,Central,Grassland,656.6,1069.8,24.0,21,1.7
SITE-0090,North,Forest,418.4,847.8,27.8,25,3.3
SITE-0091,South,Grassland,750.4,1477.5,24.8,32,5.2
SITE-0092,South,Grassland,302.1,1286.6,30.2,29,4.2
SITE-0093,North,Grassland,105.9,341.8,29.3,7,4.4
SITE-0094,North,Forest,267.8,752.0,27.9,24,4.4
SITE-0095,North,Forest,416.4,803.8,26.4,34,1.9
SITE-0096,North,Forest,778.1,652.4,27.4,26,2.1
SITE-0097,North,Grassland,40.0,519.0,30.7,5,4.0
SITE-0098,South,Forest,484.4,1591.6,28.3,49,7.0
SITE-0099,South,Forest,423.2,948.2,26.2,35,3.7
SITE-0100,North,Forest,565.2,666.9,27.9,24,4.4
SITE-0101,Central,Grassland,631.7,1041.8,25.1,31,7.8
SITE-0102,Central,Forest,677.3,1491.2,24.1,41,4.5
SITE-0103,South,Forest,336.6,1602.0,27.7,50,5.8
SITE-0104,North,Forest,646.2,916.3,28.5,33,9.3
SITE-0105,North,Forest,380.9,1015.3,30.0,27,2.9
SITE-0106,North,Forest,121.3,813.4,29.2,24,2.2
SITE-0107,North,Grassland,799.0,677.0,24.6,23,2.3
SITE-0108,Central,Forest,734.8,1428.5,23.2,50,4.9
SITE-0109,North,Forest,493.0,1148.5,25.4,40,4.5
SITE-0110,North,Grassland,394.5,982.6,28.3,22,3.3
SITE-0111,North,Forest,906.8,851.3,24.7,37,8.4
SITE-0112,Central,Forest,1084.9,767.6,21.9,34,6.5
SITE-0113,South,Forest,425.3,962.1,24.1,32,2.3
SITE-0114,South,Forest,662.8,1616.6,26.2,48,4.4
SITE-0115,Central,Forest,666.5,1385.5,24.9,42,7.8
SITE-0116,Central,Forest,1135.1,1563.2,23.1,50,3.3
SITE-0117,Central,Forest,1041.6,1326.4,24.4,43,2.3
SITE-0118,Central,Forest,773.9,1044.1,23.7,35,3.5
SITE-0119,North,Forest,294.6,793.6,26.7,34,7.2
SITE-0120,North,Grassland,368.5,500.6,30.8,8,5.8
SITE-0121,South,Grassland,983.9,1313.6,21.7,41,4.2
SITE-0122,South,Grassland,452.0,932.9,26.9,20,5.0
SITE-0123,North,Forest,350.9,1036.3,27.1,33,4.9
SITE-0124,North,Grassland,91.1,643.1,30.9,13,6.5
SITE-0125,North,Forest,288.4,732.1,27.5,34,15.0
SITE-0126,North,Grassland,154.8,1016.4,28.5,23,7.1
SITE-0127,Central,Forest,774.5,1153.3,25.2,36,7.2
SITE-0128,Central,Forest,671.7,1073.7,23.8,33,5.5
SITE-0129,North,Grassland,217.0,677.9,30.1,17,4.1
SITE-0130,South,Forest,483.4,1448.3,25.1,40,3.0
SITE-0131,Central,Grassland,677.1,819.8,25.8,22,8.9
SITE-0132,South,Grassland,440.2,1126.6,27.0,36,7.6
SITE-0133,North,Grassland,704.1,1088.3,25.0,29,4.6
SITE-0134,Central,Forest,472.5,1267.9,25.2,46,6.2
SITE-0135,Central,Grassland,730.7,1066.5,26.3,32,2.8
SITE-0136,South,Grassland,264.2,1003.4,27.8,39,15.0
SITE-0137,South,Grassland,617.9,1242.4,26.2,28,2.6
SITE-0138,North,Grassland,427.6,594.3,28.2,14,6.9
SITE-0139,North,Grassland,125.1,1141.5,30.5,31,5.4
SITE-0140,Central,Grassland,882.0,1236.7,22.7,37,5.1
SITE-0141,South,Forest,423.0,1153.7,29.9,37,2.5
SITE-0142,North,Forest,213.4,1014.4,27.5,40,7.4
SITE-0143,South,Forest,763.8,1405.1,24.4,43,12.1
SITE-0144,South,Forest,828.3,1751.1,24.3,54,5.6
SITE-0145,Central,Grassland,788.9,1394.9,25.6,41,2.8
SITE-0146,North,Forest,170.4,983.6,29.1,27,7.2
SITE-0147,Central,Grassland,312.3,944.0,27.4,22,1.4
SITE-0148,South,Grassland,449.9,1259.4,25.5,30,3.1
SITE-0149,Central,Forest,899.3,1197.3,22.8,42,9.4
SITE-0150,South,Grassland,388.1,821.4,26.1,21,15.0
SITE-0151,Central,Forest,480.5,1303.7,27.2,42,6.6
SITE-0152,South,Grassland,124.3,1194.2,26.5,31,2.7
SITE-0153,Central,Forest,836.5,1028.2,24.1,40,5.1
SITE-0154,South,Grassland,211.2,1083.4,27.8,25,6.5
SITE-0155,Central,Forest,930.8,1327.6,24.0,39,7.2
SITE-0156,Central,Forest,642.0,1618.6,22.6,49,1.3
SITE-0157,North,Forest,311.7,1070.6,26.4,39,3.1
SITE-0158,South,Grassland,558.1,962.5,26.7,20,2.2
SITE-0159,South,Grassland,387.6,1242.2,30.1,23,6.9
SITE-0160,North,Forest,751.9,657.5,26.3,29,2.0
SITE-0161,North,Grassland,212.6,610.0,30.5,12,11.7
SITE-0162,North,Grassland,374.1,555.0,25.2,15,5.5
SITE-0163,South,Forest,403.5,1617.5,27.1,42,5.6
SITE-0164,South,Grassland,623.6,821.8,25.3,26,4.6
SITE-0165,North,Grassland,254.5,560.9,28.2,20,9.3
SITE-0166,Central,Grassland,739.4,1032.4,23.9,27,1.8
SITE-0167,North,Grassland,323.0,799.8,28.8,16,6.7
SITE-0168,North,Grassland,102.4,700.7,28.4,15,2.2
SITE-0169,Central,Grassland,461.8,1120.8,26.5,27,1.2
SITE-0170,South,Grassland,760.0,1075.9,25.2,25,5.3
SITE-0171,Central,Forest,976.4,1129.3,23.0,37,4.6
SITE-0172,North,Forest,577.7,1257.7,25.5,40,6.1
SITE-0173,Central,Grassland,984.5,1132.0,21.7,28,5.6
SITE-0174,North,Forest,745.5,998.7,24.9,37,3.9
SITE-0175,South,Forest,651.4,1176.5,24.8,45,9.7
SITE-0176,North,Forest,240.5,641.7,27.9,20,5.2
SITE-0177,South,Forest,656.9,1465.5,27.4,46,4.1
SITE-0178,South,Forest,715.7,1385.3,24.4,44,3.7
SITE-0179,Central,Grassland,456.1,1263.3,28.2,26,2.7
SITE-0180,North,Forest,559.3,981.3,27.4,34,4.3
SITE-0181,North,Forest,40.0,574.9,28.0,22,4.8
SITE-0182,Central,Forest,451.2,1326.3,27.6,40,4.8
SITE-0183,South,Grassland,458.5,959.6,26.5,28,5.4
SITE-0184,South,Forest,85.4,1126.2,30.6,37,2.9
SITE-0185,North,Grassland,345.2,343.6,25.1,10,1.4
SITE-0186,South,Forest,454.0,1660.5,27.6,51,11.6
SITE-0187,North,Grassland,343.8,733.3,29.0,18,5.7
SITE-0188,Central,Grassland,825.8,949.6,23.2,28,4.9
SITE-0189,North,Forest,449.1,1017.4,25.3,24,2.5
SITE-0190,Central,Grassland,1080.6,1058.9,24.4,29,15.0
SITE-0191,South,Forest,570.0,1520.1,26.7,56,12.8
SITE-0192,Central,Grassland,641.5,1275.3,25.7,27,7.4
SITE-0193,North,Forest,330.8,958.5,27.7,37,15.0
SITE-0194,South,Forest,645.1,970.6,24.6,34,8.6
SITE-0195,North,Grassland,203.7,517.9,30.5,11,3.7
SITE-0196,Central,Forest,1278.3,816.6,21.5,36,15.0
SITE-0197,Central,Grassland,677.7,1233.0,25.2,22,5.9
SITE-0198,North,Grassland,542.2,914.6,27.0,20,1.8
SITE-0199,Central,Grassland,1099.8,1151.6,22.7,29,12.9
SITE-0200,Central,Forest,856.8,1175.1,24.4,46,9.1
SITE-0201,North,Forest,53.5,1033.3,28.8,42,5.9
SITE-0202,North,Forest,145.6,1186.7,27.0,37,8.6
SITE-0203,South,Forest,1085.8,1340.1,21.7,46,10.3
SITE-0204,North,Forest,446.7,889.2,25.6,27,4.6
SITE-0205,Central,Grassland,1074.6,1121.8,24.1,31,6.9
SITE-0206,South,Forest,472.5,1700.0,26.8,49,8.6
SITE-0207,North,Forest,514.6,835.8,27.5,41,1.3
SITE-0208,Central,Forest,734.7,962.3,25.5,35,9.6
SITE-0209,North,Grassland,202.4,719.8,28.2,19,5.3
SITE-0210,North,Grassland,353.4,828.0,28.0,17,6.1
SITE-0211,South,Grassland,536.9,1158.6,27.9,22,3.2
SITE-0212,North,Forest,555.5,868.9,26.7,41,12.1
SITE-0213,Central,Grassland,1070.9,951.2,24.5,25,3.7
SITE-0214,North,Grassland,267.7,737.1,28.5,19,3.2
SITE-0215,Central,Forest,443.7,1313.1,27.6,43,8.2
SITE-0216,North,Forest,295.3,870.8,27.5,33,7.4
SITE-0217,North,Forest,146.1,1297.9,28.6,35,5.1
SITE-0218,Central,Grassland,915.4,922.9,22.1,31,3.3
SITE-0219,North,Forest,300.8,915.0,27.0,35,5.5
SITE-0220,South,Grassland,692.6,1572.6,23.9,44,2.4
SITE-0221,Central,Grassland,784.8,1135.3,25.0,32,4.5
SITE-0222,Central,Grassland,1075.2,730.1,21.8,20,4.6
SITE-0223,North,Grassland,420.4,711.3,25.7,20,9.8
SITE-0224,Central,Forest,416.7,1379.0,27.4,40,13.1
SITE-0225,Central,Grassland,748.8,1080.2,25.1,31,6.7
SITE-0226,North,Grassland,383.6,727.1,27.5,12,1.6
SITE-0227,North,Grassland,638.7,280.0,26.6,3,9.0
SITE-0228,Central,Grassland,1047.2,567.5,22.4,20,7.9
SITE-0229,South,Forest,297.3,1149.9,27.2,46,12.1
SITE-0230,Central,Forest,636.8,1281.3,24.3,48,3.1
SITE-0231,Central,Forest,842.1,1014.3,24.4,36,6.5
SITE-0232,South,Forest,291.1,1832.5,29.6,55,12.5
SITE-0233,Central,Forest,795.5,940.1,22.8,32,2.7
SITE-0234,South,Forest,175.2,1655.3,28.3,50,6.5
SITE-0235,Central,Grassland,800.1,1006.0,25.0,30,5.6
SITE-0236,Central,Forest,803.7,1373.6,26.4,41,2.9
SITE-0237,Central,Forest,791.9,1297.0,24.1,39,2.8
SITE-0238,North,Forest,401.3,564.3,26.5,32,3.8
SITE-0239,South,Forest,631.4,1145.6,24.4,42,4.6
SITE-0240,North,Grassland,196.8,727.8,28.6,14,6.1
SITE-0241,South,Grassland,757.7,1402.8,23.9,39,5.4
SITE-0242,North,Grassland,69.6,788.0,28.4,24,5.9
SITE-0243,South,Forest,396.4,1776.2,27.7,46,10.8
SITE-0244,South,Forest,602.9,1739.8,24.2,42,6.2
SITE-0245,Central,Grassland,693.1,590.7,25.9,17,4.8
SITE-0246,South,Forest,435.1,1179.7,26.8,35,6.6
SITE-0247,North,Grassland,529.0,662.1,25.6,22,5.8
SITE-0248,North,Grassland,612.4,704.4,25.0,10,1.2
SITE-0249,South,Forest,486.6,1152.2,25.9,39,3.8
SITE-0250,North,Grassland,672.2,310.2,27.7,11,5.5
SITE-0251,Central,Grassland,732.6,999.6,25.7,24,9.7
SITE-0252,South,Grassland,635.6,1064.0,29.0,22,2.7
SITE-0253,South,Forest,434.4,1039.9,27.7,38,15.0
SITE-0254,South,Grassland,693.5,1012.4,25.7,35,3.2
SITE-0255,North,Forest,364.8,747.7,28.2,34,6.0
SITE-0256,Central,Forest,594.0,1366.9,26.7,37,1.2
SITE-0257,Central,Forest,683.8,1261.0,22.7,44,8.9
SITE-0258,North,Grassland,180.3,512.2,28.4,13,6.9
SITE-0259,North,Grassland,243.7,709.9,27.6,26,9.6
SITE-0260,Central,Forest,932.0,1330.7,22.9,47,3.8
SITE-0261,South,Forest,751.6,1592.9,24.0,41,3.4
SITE-0262,Central,Forest,809.2,1564.1,25.9,48,3.3
SITE-0263,Central,Grassland,855.4,1032.4,24.5,31,7.7
SITE-0264,Central,Grassland,849.5,1112.7,26.2,29,15.0
SITE-0265,Central,Grassland,591.6,907.8,26.7,24,4.9
SITE-0266,North,Forest,484.0,837.9,27.1,30,4.0
SITE-0267,Central,Grassland,904.5,1049.7,24.3,30,2.2
SITE-0268,North,Grassland,251.2,581.3,28.5,7,5.6
SITE-0269,Central,Grassland,518.2,1149.0,27.5,24,6.3
SITE-0270,Central,Forest,810.3,1228.3,24.5,42,5.8
SITE-0271,South,Forest,538.2,1652.5,27.8,46,4.1
SITE-0272,North,Forest,121.4,942.1,30.5,34,8.9
SITE-0273,North,Forest,56.2,542.3,29.3,23,10.4
SITE-0274,Central,Forest,557.6,1081.8,26.3,33,4.6
SITE-0275,South,Forest,500.1,1378.8,27.1,45,6.1
SITE-0276,Central,Forest,815.1,1358.1,24.6,40,3.1
SITE-0277,Central,Forest,625.1,1542.6,28.9,43,5.2
SITE-0278,North,Grassland,399.2,695.1,27.8,15,7.3
SITE-0279,Central,Forest,585.0,1092.3,25.6,41,7.3
SITE-0280,South,Grassland,624.8,1206.2,24.7,32,3.7
SITE-0281,Central,Forest,809.4,1519.5,24.8,45,4.1
SITE-0282,Central,Grassland,330.9,600.1,27.7,16,2.1
SITE-0283,Central,Grassland,767.4,791.6,24.3,28,6.8
SITE-0284,North,Grassland,40.0,412.0,28.2,9,12.8
SITE-0285,Central,Forest,571.2,1207.5,24.8,40,3.4
SITE-0286,Central,Grassland,815.5,1062.8,23.8,28,5.5
SITE-0287,Central,Forest,815.7,960.4,24.7,40,6.6
SITE-0288,North,Forest,356.8,958.1,29.2,25,3.6
SITE-0289,South,Grassland,420.3,1315.0,28.1,26,5.9
SITE-0290,North,Grassland,744.9,403.9,25.9,12,8.4
SITE-0291,South,Grassland,401.9,1217.6,27.5,26,3.3
SITE-0292,North,Grassland,357.9,795.1,26.8,23,6.5
SITE-0293,South,Grassland,443.2,937.5,28.6,20,4.5
SITE-0294,North,Grassland,786.5,665.8,24.2,27,5.1
SITE-0295,North,Forest,171.1,773.2,29.9,30,9.9
SITE-0296,North,Grassland,243.0,764.2,29.1,19,1.6
SITE-0297,South,Forest,574.2,1629.8,26.1,48,2.2
SITE-0298,Central,Forest,880.4,1303.8,24.9,41,4.2
SITE-0299,Central,Grassland,740.9,1169.7,25.3,27,2.7
SITE-0300,North,Forest,202.1,890.1,30.9,32,9.4
SITE-0301,Central,Grassland,1484.1,1120.8,22.2,38,11.7
SITE-0302,South,Forest,630.2,1421.4,26.6,38,9.1
SITE-0303,South,Grassland,601.5,1293.9,26.2,25,4.9
SITE-0304,South,Grassland,246.9,1033.7,29.8,15,1.0
SITE-0305,South,Forest,606.9,1398.0,27.9,49,7.8
SITE-0306,Central,Forest,806.7,1178.4,23.8,37,1.2
SITE-0307,Central,Grassland,1019.8,1062.5,24.2,28,2.8
SITE-0308,North,Grassland,132.6,517.9,27.2,7,5.0
SITE-0309,North,Grassland,396.5,793.7,30.4,19,5.7
SITE-0310,North,Grassland,133.1,280.0,27.6,4,5.5
SITE-0311,Central,Forest,815.5,1688.3,23.2,49,7.6
SITE-0312,Central,Forest,961.3,1546.4,24.6,49,4.2
SITE-0313,North,Forest,327.2,772.3,28.5,28,1.6
SITE-0314,South,Grassland,588.6,1490.6,23.8,39,1.6
SITE-0315,South,Grassland,591.9,1344.8,25.8,33,5.2
SITE-0316,North,Grassland,574.9,622.1,26.6,15,12.3
SITE-0317,North,Forest,350.2,862.1,25.7,34,15.0
SITE-0318,South,Forest,427.1,1369.1,25.2,45,2.7
SITE-0319,North,Forest,613.9,1072.6,25.4,39,9.4
SITE-0320,North,Grassland,301.2,514.4,29.7,11,9.4
SITE-0321,North,Forest,42.5,775.8,27.4,31,4.5
SITE-0322,South,Grassland,690.2,1450.6,24.0,42,4.5
SITE-0323,South,Grassland,358.5,1145.0,27.1,26,7.1
SITE-0324,South,Grassland,634.9,1246.4,26.9,25,8.4
SITE-0325,Central,Grassland,1212.6,1227.9,20.9,37,3.2
SITE-0326,North,Forest,471.6,518.1,25.4,29,2.3
SITE-0327,North,Forest,540.5,839.6,24.5,31,6.2
SITE-0328,North,Grassland,449.4,645.7,27.1,18,4.6
SITE-0329,South,Forest,559.9,1661.7,24.4,45,8.1
SITE-0330,South,Forest,457.3,1367.7,26.7,38,2.2
SITE-0331,South,Forest,639.0,1370.1,26.6,45,4.6
SITE-0332,Central,Grassland,619.5,865.6,25.4,14,1.8
SITE-0333,South,Forest,448.6,1619.7,27.1,45,7.3
SITE-0334,North,Grassland,536.5,445.9,24.9,15,2.4
SITE-0335,South,Forest,415.4,1507.9,28.2,47,8.2
SITE-0336,North,Forest,92.8,489.7,30.5,23,7.1
SITE-0337,Central,Forest,1064.0,1487.6,22.9,47,12.9
SITE-0338,North,Forest,239.6,1030.2,29.1,35,6.1
SITE-0339,Central,Forest,1172.7,1231.9,22.5,45,4.7
SITE-0340,South,Grassland,397.0,1499.0,28.6,40,6.7
SITE-0341,Central,Forest,829.7,999.1,24.4,36,8.0
SITE-0342,South,Forest,550.5,1133.3,27.2,34,3.3
SITE-0343,South,Grassland,482.4,1156.4,26.2,27,5.4
SITE-0344,North,Forest,382.6,963.5,27.4,31,6.4
SITE-0345,North,Forest,535.5,871.3,25.8,35,2.1
SITE-0346,Central,Forest,936.2,1097.2,24.2,34,3.8
SITE-0347,Central,Forest,552.7,1093.8,26.7,42,4.0
SITE-0348,Central,Forest,1052.8,1100.0,19.4,34,5.7
SITE-0349,Central,Grassland,553.1,1099.5,24.4,29,4.5
SITE-0350,Central,Forest,626.3,1322.5,25.1,45,11.0
SITE-0351,Central,Grassland,1099.9,1018.7,22.4,22,1.7
SITE-0352,Central,Forest,785.5,1225.9,24.1,45,1.7
SITE-0353,South,Forest,260.7,1432.8,27.9,38,3.1
SITE-0354,South,Grassland,634.4,1607.2,25.1,35,2.4
SITE-0355,Central,Grassland,1048.5,954.3,22.4,23,2.2
SITE-0356,South,Forest,350.4,1925.5,26.6,51,6.3
SITE-0357,North,Forest,109.2,952.8,28.4,33,2.6
SITE-0358,South,Forest,40.0,1626.5,27.9,45,2.2
SITE-0359,Central,Forest,992.0,1031.3,21.4,41,4.2
SITE-0360,North,Grassland,58.6,827.6,30.8,20,11.6
SITE-0361,South,Forest,780.6,1519.8,24.7,48,9.3
SITE-0362,Central,Forest,866.7,1367.0,24.5,53,10.8
SITE-0363,North,Grassland,515.2,756.4,27.1,26,10.0
SITE-0364,South,Forest,486.1,1496.7,28.1,43,13.7
SITE-0365,South,Forest,512.4,1393.3,27.6,40,3.5
SITE-0366,Central,Grassland,994.6,831.3,24.6,21,3.7
SITE-0367,South,Forest,292.0,1293.7,27.7,47,12.1
SITE-0368,South,Grassland,778.2,1414.5,26.0,33,3.9
SITE-0369,South,Forest,568.8,1416.8,25.2,43,7.4
SITE-0370,North,Forest,420.5,852.7,28.4,33,5.0
SITE-0371,Central,Forest,1000.7,1046.0,21.5,45,5.3
SITE-0372,Central,Grassland,841.9,1416.8,23.0,37,4.3
SITE-0373,South,Forest,523.4,1617.6,27.1,42,7.6
SITE-0374,Central,Grassland,931.4,1209.4,22.5,36,1.3
SITE-0375,Central,Forest,1023.2,1385.4,21.8,47,2.1
SITE-0376,North,Grassland,284.8,600.7,28.9,16,3.0
SITE-0377,Central,Forest,654.5,1752.2,24.4,47,4.4
SITE-0378,North,Forest,246.4,908.8,27.7,29,10.8
SITE-0379,Central,Forest,670.2,1478.4,23.8,56,8.0
SITE-0380,North,Grassland,67.8,1098.9,30.8,22,1.3
SITE-0381,South,Grassland,714.0,1094.8,24.5,27,5.4
SITE-0382,North,Grassland,40.0,679.7,29.1,22,3.7
SITE-0383,Central,Forest,849.1,1765.8,22.9,50,10.0
SITE-0384,South,Grassland,472.8,1504.5,25.9,39,3.0
SITE-0385,South,Forest,353.6,1356.9,27.2,42,6.6
SITE-0386,South,Forest,564.2,1258.8,25.5,39,4.5
SITE-0387,Central,Forest,999.8,1299.4,21.5,63,4.9
SITE-0388,Central,Forest,886.3,924.7,22.6,33,10.6
SITE-0389,South,Forest,324.4,1671.4,28.7,46,5.9
SITE-0390,North,Forest,209.8,1241.7,28.7,35,2.0
SITE-0391,Central,Grassland,581.5,596.2,27.5,17,1.5
SITE-0392,Central,Grassland,476.9,798.7,28.3,14,4.2
SITE-0393,Central,Forest,930.3,798.4,23.6,33,7.5
SITE-0394,South,Grassland,726.2,1380.1,24.9,36,1.5
SITE-0395,Central,Grassland,709.0,878.5,23.9,23,3.4
SITE-0396,South,Grassland,769.3,1655.9,23.3,41,2.0
SITE-0397,South,Grassland,220.7,1381.5,27.8,39,3.9
SITE-0398,Central,Forest,873.2,1096.4,25.3,31,7.1
SITE-0399,Central,Forest,716.8,1251.5,26.0,43,9.1
SITE-0400,North,Forest,337.8,958.2,26.5,27,1.2
SITE-0401,North,Grassland,397.4,492.3,27.6,4,3.1
SITE-0402,Central,Forest,229.2,962.2,28.3,37,6.3
SITE-0403,South,Grassland,478.9,1116.5,26.3,25,2.3
SITE-0404,Central,Forest,1164.1,1425.4,18.3,47,15.0
SITE-0405,South,Forest,226.3,1374.5,29.2,42,4.5
SITE-0406,North,Grassland,750.9,662.2,24.4,19,6.8
SITE-0407,North,Forest,143.4,1040.4,27.5,36,3.7
SITE-0408,Central,Grassland,547.9,1079.6,26.5,29,10.7
SITE-0409,South,Grassland,478.4,1630.6,27.0,34,2.7
SITE-0410,South,Grassland,817.0,997.2,23.8,32,8.2
SITE-0411,South,Forest,902.9,1374.6,24.2,44,3.2
SITE-0412,South,Grassland,281.2,907.8,28.4,35,7.1
SITE-0413,Central,Forest,1060.5,1039.0,22.2,40,9.5
SITE-0414,Central,Forest,510.3,1149.3,23.4,40,3.4
SITE-0415,Central,Grassland,800.4,864.0,22.2,29,3.3
SITE-0416,Central,Forest,844.9,1545.9,24.2,47,2.7
SITE-0417,Central,Forest,795.3,1542.2,26.0,50,1.7
SITE-0418,Central,Grassland,911.3,1159.0,25.1,26,4.5
SITE-0419,South,Grassland,606.0,1489.7,26.2,38,2.6
SITE-0420,South,Grassland,757.3,1088.0,26.6,29,3.7
SITE-0421,North,Grassland,540.3,1017.8,26.2,25,4.9
SITE-0422,Central,Grassland,592.7,1226.0,26.4,32,5.1
SITE-0423,Central,Grassland,548.7,1015.1,26.3,27,4.4
SITE-0424,Central,Grassland,906.4,518.6,24.1,10,7.3
SITE-0425,South,Forest,653.4,1713.1,25.4,47,8.5
SITE-0426,North,Grassland,211.5,895.9,30.0,21,4.7
SITE-0427,Central,Grassland,1129.9,919.3,22.2,21,4.0
SITE-0428,Central,Forest,956.6,1355.0,23.9,44,2.4
