date,region,requests,completed,completion_rate,median_resolution_hours,satisfaction_score
2026-05-09,Lake,70,67,0.9571,18.1072,3.7103
2026-05-09,Northern,80,72,0.9000,21.1415,3.6180
2026-05-10,Central,129,119,0.9225,20.5134,3.6163
2026-05-10,Coastal,88,78,0.8864,18.4592,3.5265
2026-05-10,Lake,55,50,0.9091,21.2386,3.8030
2026-05-10,Northern,59,50,0.8475,18.3931,3.5894
2026-05-11,Central,135,121,0.8963,19.6489,3.5219
2026-05-11,Coastal,112,101,0.9018,20.6661,3.5977
2026-05-11,Lake,83,72,0.8675,22.0280,3.5834
2026-05-11,Northern,94,81,0.8617,23.5087,3.2459
2026-05-12,Central,112,100,0.8929,18.7347,3.5933
2026-05-12,Coastal,99,90,0.9091,20.6599,3.6977
2026-05-12,Lake,79,72,0.9114,20.2532,3.5406
2026-05-12,Northern,91,82,0.9011,21.7377,3.6389
2026-05-13,Central,126,114,0.9048,19.9205,3.8024
2026-05-13,Coastal,112,102,0.9107,18.5420,3.5195
2026-05-13,Lake,88,85,0.9659,17.6796,3.7821
2026-05-13,Northern,121,107,0.8843,23.9816,3.6510
2026-05-14,Central,136,127,0.9338,19.1046,3.6604
2026-05-14,Coastal,114,100,0.8772,21.4899,3.5545
2026-05-14,Lake,86,84,0.9767,19.5757,3.4816
2026-05-14,Northern,87,78,0.8966,16.3334,3.5968
2026-05-15,Central,122,113,0.9262,19.1084,3.8145
2026-05-15,Coastal,129,119,0.9225,20.8576,3.7446
2026-05-15,Lake,100,95,0.9500,18.5550,3.5404
2026-05-15,Northern,81,73,0.9012,18.8340,3.7824
2026-05-16,Central,97,89,0.9175,22.0921,3.6705
2026-05-16,Coastal,107,99,0.9252,23.7587,3.5717
2026-05-16,Lake,76,70,0.9211,19.0057,3.7735
2026-05-16,Northern,78,74,0.9487,18.6926,3.8187
2026-05-17,Central,126,117,0.9286,20.8539,3.4418
2026-05-17,Coastal,81,70,0.8642,18.9421,3.5722
2026-05-17,Lake,74,70,0.9459,22.3411,3.7749
2026-05-17,Northern,84,79,0.9405,19.2768,3.4887
2026-05-18,Central,139,128,0.9209,21.0320,3.7969
2026-05-18,Coastal,116,100,0.8621,21.5883,3.5534
2026-05-18,Lake,58,49,0.8448,19.8887,3.8265
2026-05-18,Northern,81,73,0.9012,20.7217,3.5105
2026-05-19,Central,111,103,0.9279,20.6557,3.6102
2026-05-19,Coastal,93,83,0.8925,19.9819,3.6996
2026-05-19,Lake,94,85,0.9043,21.3647,3.5355
2026-05-19,Northern,97,83,0.8557,23.1615,3.6321
2026-05-20,Central,137,122,0.8905,21.8135,3.7544
2026-05-20,Coastal,85,76,0.8941,22.3093,3.7752
2026-05-20,Lake,89,85,0.9551,18.3433,3.7882
2026-05-20,Northern,94,86,0.9149,18.6064,3.6606
2026-05-21,Central,133,122,0.9173,21.5989,3.8137
2026-05-21,Coastal,115,108,0.9391,17.9061,3.5873
2026-05-21,Lake,69,65,0.9420,21.1765,3.7534
2026-05-21,Northern,79,67,0.8481,20.7598,3.8833
2026-05-22,Central,132,128,0.9697,19.7282,3.6792
2026-05-22,Coastal,109,98,0.8991,18.6560,3.6668
2026-05-22,Lake,78,71,0.9103,18.5911,3.6848
2026-05-22,Northern,83,76,0.9157,15.3619,3.5329
2026-05-23,Central,114,106,0.9298,20.2841,3.6000
2026-05-23,Coastal,98,89,0.9082,20.9426,3.6816
2026-05-23,Lake,67,64,0.9552,18.1841,3.6908
2026-05-23,Northern,72,64,0.8889,24.7712,3.6440
2026-05-24,Central,118,105,0.8898,19.1393,3.5906
2026-05-24,Coastal,86,77,0.8953,20.8416,3.3996
2026-05-24,Lake,82,74,0.9024,20.7320,3.6836
2026-05-24,Northern,74,63,0.8514,19.2695,3.6146
2026-05-25,Central,126,112,0.8889,16.2595,3.7103
2026-05-25,Coastal,94,79,0.8404,22.8424,3.5295
2026-05-25,Lake,97,88,0.9072,20.8909,3.6469
2026-05-25,Northern,94,80,0.8511,21.2757,3.5452
2026-05-26,Central,121,106,0.8760,21.4908,3.6560
2026-05-26,Coastal,116,101,0.8707,22.4462,3.5251
2026-05-26,Lake,82,74,0.9024,21.2877,3.4954
2026-05-26,Northern,100,90,0.9000,20.6218,3.4386
2026-05-27,Central,119,109,0.9160,22.0994,3.6417
2026-05-27,Coastal,98,88,0.8980,23.1058,3.5770
2026-05-27,Lake,84,76,0.9048,20.6342,3.7050
2026-05-27,Northern,92,86,0.9348,21.7012,3.4441
2026-05-28,Central,145,133,0.9172,20.1121,3.6709
2026-05-28,Coastal,97,88,0.9072,18.7915,3.7858
2026-05-28,Lake,83,77,0.9277,18.5586,3.8610
2026-05-28,Northern,99,90,0.9091,21.0852,3.8239
2026-05-29,Central,131,126,0.9618,18.3131,3.5075
2026-05-29,Coastal,98,88,0.8980,23.1813,3.4866
2026-05-29,Lake,84,82,0.9762,18.0112,3.7912
2026-05-29,Northern,72,64,0.8889,21.2875,3.8249
2026-05-30,Central,111,102,0.9189,20.2445,3.8630
2026-05-30,Coastal,89,81,0.9101,21.7768,3.6246
2026-05-30,Lake,77,72,0.9351,22.2137,3.6747
2026-05-30,Northern,87,80,0.9195,21.0241,3.6873
2026-05-31,Central,114,105,0.9211,21.9323,3.7389
2026-05-31,Coastal,86,79,0.9186,18.5150,3.5712
2026-05-31,Lake,73,69,0.9452,21.4822,3.4751
2026-05-31,Northern,70,64,0.9143,25.1031,3.7280
2026-06-01,Central,117,109,0.9316,17.2954,3.8100
2026-06-01,Coastal,107,97,0.9065,21.4680,3.7656
2026-06-01,Lake,96,87,0.9062,16.6195,3.5316
2026-06-01,Northern,88,76,0.8636,21.4564,3.5958
2026-06-02,Central,142,130,0.9155,20.0204,3.7397
2026-06-02,Coastal,90,78,0.8667,23.9286,3.6552
2026-06-02,Lake,78,70,0.8974,20.5127,3.7413
2026-06-02,Northern,92,80,0.8696,20.6792,3.6790
2026-06-03,Central,120,104,0.8667,18.3337,3.6494
2026-06-03,Coastal,100,90,0.9000,24.0839,3.4193
2026-06-03,Lake,92,85,0.9239,18.2952,3.5345
2026-06-03,Northern,85,73,0.8588,18.5812,3.6496
2026-06-04,Central,109,101,0.9266,20.3322,3.6411
2026-06-04,Coastal,108,99,0.9167,18.6029,3.6332
2026-06-04,Lake,91,82,0.9011,18.8844,3.8653
2026-06-04,Northern,80,69,0.8625,19.1329,3.7053
2026-06-05,Central,143,131,0.9161,24.8193,3.7284
2026-06-05,Coastal,87,79,0.9080,22.8369,3.5808
2026-06-05,Lake,79,76,0.9620,17.3982,3.9553
2026-06-05,Northern,86,74,0.8605,21.3251,3.7405
2026-06-06,Central,108,102,0.9444,20.9284,3.8406
2026-06-06,Coastal,100,89,0.8900,20.3172,3.7421
2026-06-06,Lake,75,69,0.9200,19.0688,3.7840
2026-06-06,Northern,93,85,0.9140,22.3820,3.6718
2026-06-07,Central,123,113,0.9187,21.3600,3.5630
2026-06-07,Coastal,95,80,0.8421,21.6873,3.5528
2026-06-07,Lake,80,78,0.9750,18.1652,3.5062
2026-06-07,Northern,84,75,0.8929,19.4184,3.8591
2026-06-08,Central,122,116,0.9508,19.5977,3.6473
2026-06-08,Coastal,118,109,0.9237,21.3727,3.5084
2026-06-08,Lake,87,83,0.9540,21.8758,3.8769
2026-06-08,Northern,89,81,0.9101,20.9445,3.6772
2026-06-09,Central,119,104,0.8739,20.3481,3.6045
2026-06-09,Coastal,90,75,0.8333,17.6785,3.5050
2026-06-09,Lake,79,73,0.9241,19.3813,3.7122
2026-06-09,Northern,107,91,0.8505,21.5316,3.8454
2026-06-10,Central,124,111,0.8952,20.8072,3.6999
2026-06-10,Coastal,121,108,0.8926,22.9157,3.6364
2026-06-10,Lake,78,72,0.9231,19.8720,3.7521
2026-06-10,Northern,94,79,0.8404,18.3067,3.5456
2026-06-11,Central,126,122,0.9683,18.0973,3.6924
2026-06-11,Coastal,103,97,0.9417,18.8335,3.6520
2026-06-11,Lake,91,82,0.9011,21.2503,3.6847
2026-06-11,Northern,105,96,0.9143,21.5671,3.4547
2026-06-12,Central,140,133,0.9500,21.2550,3.6743
2026-06-12,Coastal,99,89,0.8990,20.0896,3.5410
2026-06-12,Lake,93,90,0.9677,20.7765,3.6590
2026-06-12,Northern,104,98,0.9423,19.9377,3.6297
2026-06-13,Central,103,95,0.9223,19.4832,3.8622
2026-06-13,Coastal,96,87,0.9062,16.7609,3.6394
2026-06-13,Lake,65,62,0.9538,21.2208,3.6109
2026-06-13,Northern,89,77,0.8652,22.0466,3.6635
2026-06-14,Central,114,109,0.9561,20.8737,3.6687
2026-06-14,Coastal,108,96,0.8889,16.8559,3.6422
2026-06-14,Lake,88,82,0.9318,17.8953,3.6738
2026-06-14,Northern,66,60,0.9091,21.2612,3.6649
2026-06-15,Central,136,123,0.9044,19.6853,3.6097
2026-06-15,Coastal,102,92,0.9020,20.8178,3.5169
2026-06-15,Lake,94,89,0.9468,21.5896,3.7120
2026-06-15,Northern,96,88,0.9167,21.5393,3.7381
2026-06-16,Central,135,125,0.9259,18.3191,3.5842
2026-06-16,Coastal,110,96,0.8727,21.7300,3.9228
2026-06-16,Lake,77,72,0.9351,18.4110,3.6500
2026-06-16,Northern,87,78,0.8966,21.5059,3.6378
2026-06-17,Central,112,105,0.9375,22.6455,3.6720
2026-06-17,Coastal,128,115,0.8984,16.7412,3.4227
2026-06-17,Lake,84,81,0.9643,18.5993,3.8254
2026-06-17,Northern,76,72,0.9474,20.9589,3.9123
2026-06-18,Central,128,119,0.9297,19.7263,3.8267
2026-06-18,Coastal,108,102,0.9444,18.1990,3.6506
2026-06-18,Lake,81,77,0.9506,22.4354,3.7012
2026-06-18,Northern,83,79,0.9518,18.5040,3.6602
2026-06-19,Central,128,117,0.9141,21.8998,3.7421
2026-06-19,Coastal,94,90,0.9574,19.2582,3.5466
2026-06-19,Lake,77,72,0.9351,21.0674,3.8493
2026-06-19,Northern,95,80,0.8421,18.0464,3.8959
2026-06-20,Central,123,113,0.9187,20.3543,3.7484
2026-06-20,Coastal,109,97,0.8899,22.5954,3.7765
2026-06-20,Lake,92,83,0.9022,21.6381,3.6890
2026-06-20,Northern,82,77,0.9390,20.7559,3.6815
2026-06-21,Central,117,106,0.9060,17.8407,3.7482
2026-06-21,Coastal,94,86,0.9149,21.0101,3.8175
2026-06-21,Lake,73,71,0.9726,22.8982,3.7434
2026-06-21,Northern,89,81,0.9101,22.9350,3.9320
2026-06-22,Central,138,125,0.9058,20.5607,3.5907
2026-06-22,Coastal,104,98,0.9423,20.1171,3.5998
2026-06-22,Lake,81,74,0.9136,17.2980,3.6695
2026-06-22,Northern,104,94,0.9038,17.6198,3.6090
2026-06-23,Central,140,126,0.9000,18.9130,3.6430
2026-06-23,Coastal,111,99,0.8919,20.7010,3.6084
2026-06-23,Lake,90,83,0.9222,19.7424,3.6398
2026-06-23,Northern,92,80,0.8696,21.6119,3.6216
2026-06-24,Central,117,110,0.9402,18.8393,3.5563
2026-06-24,Coastal,112,100,0.8929,19.3770,3.7581
2026-06-24,Lake,76,69,0.9079,20.3694,3.6946
2026-06-24,Northern,95,91,0.9579,24.0080,3.6554
2026-06-25,Central,115,107,0.9304,21.6818,3.8508
2026-06-25,Coastal,111,98,0.8829,20.4900,3.7269
2026-06-25,Lake,77,73,0.9481,22.5614,3.5669
2026-06-25,Northern,81,76,0.9383,23.4241,3.5307
2026-06-26,Central,126,118,0.9365,19.0560,3.5413
2026-06-26,Coastal,118,105,0.8898,16.9803,3.6819
2026-06-26,Lake,79,71,0.8987,18.2747,3.7614
2026-06-26,Northern,81,77,0.9506,18.8603,3.7310
2026-06-27,Central,85,77,0.9059,17.2586,3.6720
2026-06-27,Coastal,76,72,0.9474,21.0331,3.4785
2026-06-27,Lake,60,57,0.9500,22.6124,3.7356
2026-06-27,Northern,76,67,0.8816,19.0677,3.5527
2026-06-28,Central,97,89,0.9175,20.1542,3.5616
2026-06-28,Coastal,97,86,0.8866,21.3359,3.6274
2026-06-28,Lake,74,70,0.9459,21.2804,3.7398
2026-06-28,Northern,87,84,0.9655,20.1242,3.5550
2026-06-29,Central,147,133,0.9048,16.7229,3.6093
2026-06-29,Coastal,101,92,0.9109,18.8050,3.5533
2026-06-29,Lake,80,72,0.9000,21.6633,3.6034
2026-06-29,Northern,88,78,0.8864,20.3453,3.6347
