group,test_prep,study_hours,math_score,reading_score,writing_score
Group B,completed,5.4,72,68,72
Group B,completed,10.3,77,64,72
Group A,none,9.1,77,48,54
Group A,completed,9.3,83,69,77
Group A,none,7.1,55,61,86
Group A,none,8.9,82,58,66
Group B,completed,8.7,84,63,70
Group A,none,5.2,65,57,49
Group A,none,0.5,56,60,48
Group B,none,9.2,72,49,82
Group B,completed,9.1,69,67,68
Group A,completed,8.3,81,79,64
Group A,completed,5.7,69,47,60
Group A,none,5.7,74,60,63
Group B,completed,3.0,58,62,51
Group A,completed,10.4,71,75,76
Group A,none,6.4,55,79,54
Group A,none,8.6,79,66,70
Group B,none,5.8,62,56,76
Group B,none,1.2,47,50,48
Group A,none,8.5,56,67,67
Group B,none,9.4,96,60,73
Group A,none,10.9,75,57,74
Group B,none,6.4,58,56,66
Group B,none,5.5,57,59,71
Group B,completed,7.0,83,83,45
Group A,none,4.2,56,53,56
Group A,none,4.6,49,54,50
Group A,completed,8.0,73,58,72
Group A,none,6.1,80,74,73
Group B,none,5.4,74,65,62
Group A,completed,7.5,86,77,63
Group A,completed,5.8,62,71,71
Group B,none,12.2,62,66,91
Group A,none,6.0,59,64,58
Group B,none,10.2,68,60,66
Group A,none,8.2,68,70,68
Group A,completed,8.9,85,82,69
Group B,none,7.4,60,88,71
Group B,none,6.3,56,55,50
Group A,none,6.6,53,74,56
Group B,completed,5.2,75,73,43
Group A,completed,7.5,77,59,69
Group B,none,8.9,78,69,67
Group A,none,1.0,39,66,46
Group A,none,3.7,53,53,49
Group A,completed,3.9,78,67,65
Group A,none,8.1,71,64,88
Group A,none,8.0,79,69,52
Group B,completed,5.7,78,60,69
Group A,none,10.1,79,70,65
Group B,completed,5.7,63,71,42
Group A,completed,7.8,72,65,77
Group B,none,8.4,71,59,65
Group A,none,6.2,87,62,54
Group B,none,9.0,77,63,64
Group B,completed,5.7,68,67,60
Group A,none,6.5,66,56,74
Group A,none,6.8,69,72,54
Group A,none,8.3,66,69,49
Group A,none,9.9,79,56,66
Group A,completed,4.8,78,78,57
Group A,completed,3.4,88,55,77
Group A,none,8.1,83,63,62
Group B,none,1.8,57,65,66
Group A,none,6.7,58,56,60
Group A,completed,7.9,62,89,55
Group B,none,2.6,65,35,76
Group B,none,4.7,72,34,52
Group A,none,5.9,78,64,56
Group B,completed,6.3,73,54,78
Group A,completed,6.6,71,68,78
Group A,completed,7.5,72,62,73
Group B,none,8.2,76,63,68
Group A,none,3.0,36,60,74
Group B,none,9.5,53,69,81
Group A,none,5.9,38,60,69
Group A,completed,5.6,64,62,67
Group B,completed,9.1,75,70,51
Group B,completed,5.4,80,59,68
Group A,completed,4.6,67,75,59
Group A,completed,2.3,67,51,77
Group A,completed,9.5,76,75,70
Group A,completed,2.5,57,64,58
Group A,none,3.6,47,42,54
Group B,none,1.7,56,58,60
Group A,completed,5.7,68,76,63
Group B,completed,2.3,51,58,66
Group B,none,9.3,64,74,79
Group A,none,5.0,50,60,61
Group A,none,3.9,50,60,65
Group B,none,7.5,79,72,70
Group B,completed,4.1,69,62,70
Group A,none,6.3,69,68,48
Group B,none,8.7,59,53,58
Group A,none,4.8,54,61,63
Group A,completed,5.7,81,50,70
Group A,none,4.9,54,57,61
Group B,none,5.9,56,56,39
Group A,none,13.6,86,79,64
Group B,none,1.7,65,51,36
Group A,completed,8.7,88,88,85
Group A,none,6.7,67,60,48
Group A,none,5.0,55,51,60
Group B,none,8.9,73,48,73
Group A,completed,9.5,82,72,63
Group A,none,4.5,58,57,47
Group B,none,6.4,61,70,60
Group A,completed,5.2,75,73,45
Group B,none,7.6,86,72,62
Group B,none,7.0,48,56,56
Group B,completed,6.6,71,57,70
Group B,completed,7.6,57,66,50
Group B,completed,7.8,74,62,74
Group A,completed,10.0,75,75,81
Group A,completed,4.6,87,62,56
Group A,completed,6.5,76,74,70
Group A,completed,12.2,72,73,75
Group B,none,5.1,77,44,73
Group A,completed,9.4,61,79,78
Group A,completed,4.4,73,87,62
Group B,none,8.3,86,72,48
Group A,completed,6.2,74,53,54
Group A,none,7.5,74,51,59
Group B,none,5.9,68,77,53
Group B,none,9.6,69,67,60
Group B,completed,6.5,74,68,77
Group A,none,6.2,49,57,62
Group A,completed,7.7,79,79,77
Group A,none,5.0,54,62,59
Group A,completed,1.2,68,48,57
Group A,completed,3.2,60,57,55
Group A,none,5.0,60,58,48
Group B,completed,10.6,77,70,74
Group A,completed,11.9,74,83,87
Group A,none,3.5,63,50,56
Group A,none,7.0,63,60,69
Group A,none,5.0,51,75,50
Group A,none,7.2,61,80,59
Group A,completed,3.7,63,80,62
Group B,none,7.4,70,68,65
Group B,completed,4.8,69,72,63
Group A,completed,3.9,60,56,62
Group A,completed,5.1,70,59,62
Group A,none,2.0,77,42,59
Group A,none,8.2,65,70,67
Group B,none,4.6,32,66,55
Group B,none,10.0,60,74,59
Group A,completed,8.5,68,68,63
Group A,none,9.5,82,65,81
Group B,completed,5.7,81,75,68
Group A,none,9.7,66,59,74
Group B,completed,9.7,80,75,79
Group A,none,5.7,61,73,61
Group A,none,6.8,52,68,65
Group B,none,10.0,72,73,70
Group B,none,7.0,69,69,48
Group A,none,5.0,50,65,63
Group B,none,9.1,72,66,59
Group A,completed,9.4,88,58,64
Group A,completed,4.6,49,48,66
Group A,none,7.7,68,67,88
Group A,completed,6.7,79,66,51
Group B,none,9.3,80,84,47
Group B,completed,4.9,56,66,65
Group A,none,9.7,67,88,48
Group B,completed,8.8,76,64,69
Group B,completed,5.8,80,79,46
Group B,none,5.4,81,66,63
Group A,none,3.9,61,71,57
Group B,none,9.9,84,61,58
Group B,completed,4.4,64,57,74
Group B,none,6.2,60,58,62
Group B,completed,11.1,91,89,79
Group B,none,8.5,85,71,54
Group A,completed,7.4,91,81,71
Group A,completed,7.2,65,59,57
Group A,none,6.2,53,78,82
Group B,completed,3.4,81,74,70
Group A,none,8.0,46,60,65
Group A,none,4.0,57,52,67
Group A,none,11.6,69,71,70
Group A,completed,2.9,77,67,59
Group A,none,6.0,64,61,62
Group B,completed,6.7,76,74,50
Group A,none,5.2,63,51,55
Group B,completed,6.7,68,80,69
Group A,none,8.3,74,77,57
Group A,completed,10.0,69,82,91
Group B,completed,7.0,61,59,64
Group A,completed,6.7,67,77,69
Group B,completed,7.5,71,59,86
Group B,none,6.8,57,76,69
